SEASON ,JUL ,AUG ,SEP ,OCT ,NOV ,DEC ,JAN ,FEB ,MAR ,APR ,MAY ,JUN ,TOTAL 
1970-71 ,0,0,0,0,0,2.4,11.4,T ,1.3,0.4,0,0,15.5
1971-72 ,0,0,0,0,T ,T ,2.8,17.8,2.3,T ,0,0,22.9
1972-73 ,0,0,0,T ,T ,T ,1.8,0.8,0.2,T ,0,0,2.8
1973-74 ,0,0,0,0,0,2.8,7.8,9.4,3.2,0.3,0,0,23.5
1974-75 ,0,0,0,0,0.1,0.1,2,10.6,0.3,T ,0,0,13.1
1975-76 ,0,0,0,0,T ,2.3,5.6,5,4.4,T ,0,0,17.3
1976-77 ,0,0,0,0,T ,5.1,13,5.8,0.6,T ,T ,0,24.5
1977-78 ,0,0,0,0,0.2,0.4,20.3,23,6.8,T ,0,0,50.7
1978-79 ,0,0,0,0,2.2,0.5,6.6,20.1,T ,T ,0,0,29.4
1979-80 ,0,0,0,T ,0,3.5,2,2.7,4.6,T ,0,0,12.8
1980-81 ,0,0,0,0,T ,2.8,8,T ,8.6,0,0,0,19.4
1981-82 ,0,0,0,0,0,2.1,11.8,0.4,0.7,9.6,0,0,24.6
1982-83 ,0,0,0,0,0,3,1.9,21.5,T ,0.8,0,0,27.2
1983-84 ,0,0,0,0,T ,1.6,11.7,0.2,11.9,0,0,0,25.4
1984-85 ,0,0,0,0,T ,5.5,8.4,10,0.2,T ,0,0,24.1
1985-86 ,0,0,0,0,T ,0.9,2.2,9.9,T ,T ,0,0,13
1986-87 ,0,0,0,0,T ,0.6,13.6,7,1.9,0,0,0,23.1
1987-88 ,0,0,0,0,1.1,2.6,13.9,1.5,T ,0,0,0,19.1
1988-89 ,0,0,0,0,0,0.3,5,0.3,2.5,0,0,0,8.1
1989-90 ,0,0,0,0,4.7,1.4,1.8,1.8,3.1,0.6,0,0,13.4
1990-91 ,0,0,0,0,0,7.2,8.4,9.1,0.2,0,0,0,24.9
1991-92 ,0,0,0,0,T ,0.7,1.5,1,9.4,T ,0,0,12.6
1992-93 ,0,0,0,0,0,0.4,1.5,10.7,11.9,0,0,0,24.5
1993-94 ,0,0,0,0,T ,6.9,12,26.4,8.1,0,0,0,53.4
1994-95 ,0,0,0,0,T ,T ,0.2,11.6,T ,T ,0,0,11.8
1995-96 ,0,0,0,0,2.9,11.5,26.1,21.2,13.2,0.7,0,0,75.6
1996-97 ,0,0,0,0,0.1,T ,4.4,3.8,1.7,T ,0,0,10
1997-98 ,0,0,0,0,T ,T ,0.5,0,5,0,0,0,5.5
1998-99 ,0,0,0,0,0,2,4.5,1.7,4.5,0,0,0,12.7
1999-00 ,0,0,0,0,0,T ,9.5,5.2,0.4,1.2,0,0,16.3
2000-01 ,0,0,0,T ,0,13.4,8.3,9.5,3.8,0,0,0,35
2001-02 ,0,0,0,0,0,T ,3.5,T ,T ,T ,0,0,3.5
2002-03 ,0,0,0,T ,T ,11,4.7,26.1,3.5,4,0,0,49.3
2003-04 ,0,0,0,0,0,19.8,17.3,0.7,4.8,0,0,0,42.6
2004-05 ,0,0,0,0,T ,3,15.3,15.8,6.9,0,0,0,41
2005-06 ,0,0,0,0,T ,9.7,2,26.9,1.3,0.1,0,0,40
2006-07 ,0,0,0,0,0,0,2.6,3.8,6,T ,0,0,12.4
2007-08 ,0,0,0,0,T ,2.9,T ,9,T ,0,0,0,11.9
2008-09 ,0,0,0,0,T ,6,9,4.3,8.3,T ,0,0,27.6
2009-10 ,0,0,0,0,0,12.4,2.1,36.9,T ,0,0,0,51.4
2010-11 ,0,0,0,0,T ,20.1,36,4.8,1,T ,0,0,61.9
2011-12 ,0,0,0,2.9,0,0,4.3,0.2,0,0,0,0,7.4
2012-13 ,0,0,0,0,4.7,0.4,1.5,12.2,7.3,0,0,0,26.1
2013-14 ,0,0,0,0,T ,8.6,19.7,29,0.1,T ,0,0,57.4
2014-15 ,0,0,0,0,0.2,1,16.9,13.6,18.6,0,0,0,50.3
2015-16 ,0,0,0,0,0,T ,27.9,4,0.9,T ,0,0,32.1
2016-17 ,0,0,0,0,T ,3.2,7.9,9.4,9.7,,,,30.2
